NAME,PER,MASS,SEP,DIST,MSTAR,RSTAR,TEFF,FE
HD 159868 b,1178.4,2.20004,2.29553,58.6854,1.16,1.84825,5558,-0.08
K2-21 b,9.32414,0.011856,0.0747146,65,0.64,0.6,4043,-0.11
Kepler-424 b,3.3118644,0.770225,0.0436419,,1.01,0.94,5460,0.44
Kepler-262 c,21.853722,0.0121773,0.152976,,,0.881,5841,
WASP-117 b,10.02165,0.2755,0.0946483,,1.126,1.17,6040,-0.11
WASP-75 b,2.484193,1.07,0.0375112,260,1.14,1.26,6100,0.07
Kepler-1293 b,5.57654784,0.00266535,0.0650345,770,1.18,1.28,6241,0
Kepler-222 b,3.936981,0.0297967,0.0487958,,,0.869,5433,
Kepler-334 b,5.470319,0.00436179,0.0607596,,,1.068,5828,
HD 114783 b,493.7,1.10505,1.15987,20.5002,0.853,0.837785,5135.09,0.116482
GJ 581 e,3.14945,0.00613456,0.028459,6.24532,0.31,0.299,3498,-0.1
Kepler-1638 b,259.33683,0.0137822,0.787843,879,0.97,0.95,5710,-0.01
Kepler-605 b,3.38353807,0.0101747,0.0427433,570,0.91,0.88,5462,0.02
Kepler-327 c,5.212333,0.00324127,0.0588339,,,0.492,3799,
Kepler-793 b,4.24153639,0.00866602,0.0509367,794,0.98,0.97,5745,0
Kepler-1555 b,8.10501635,0.0120099,0.0800056,1382,1.04,1.06,5866,0.03
Kepler-419 b,69.7546,2.5,0.370106,,1.39,1.75,6430,0.176
epsilon Ret b,428.1,1.37669,1.19471,18.2382,1.24,3.51559,4781,0.33
GJ 674 b,4.6938,0.034879,0.0386657,4.5405,0.35,,3600,-0.28
Kepler-511 b,296.637865,0.108498,0.870478,448,1,1.2,5770,0.01
Kepler-1361 b,3.57554956,0.00172655,0.0430059,404,0.83,0.79,5131,0
HD 7924 c,15.299,0.0248402,0.113438,16.8095,0.832,0.7821,5177,-0.15
Kepler-57 c,11.6092567,0.0115953,0.0942979,,0.83,0.73,5145,
HD 168443 c,1749.83,17.3857,2.85281,37.4252,0.995,1.58859,5491,0.04
Kepler-172 c,6.388996,0.0245625,0.0673847,,,1.085,5526,
Kepler-1350 b,4.4968604,0.0199266,0.0436851,350,0.55,0.53,3827,-0.06
WASP-70 A b,3.7130203,0.590076,0.0485382,245,1.106,1.215,5700,-0.01
Kepler-933 b,14.20443009,0.0191406,0.109579,922,0.87,0.84,5346,-0.02
Kepler-1406 b,11.62905828,0.00407386,0.102102,587,1.05,1.12,5892,0.04
Kepler-1530 b,2.5904434,0.0121546,0.035902,552,0.92,0.88,5477,0.03
Kepler-400 c,17.340824,0.0115291,0.131115,,,1.145,5886,
Kepler-220 e,45.902733,0.00789025,0.250899,,,0.666,4632,
Kepler-1111 b,8.79617863,0.0147338,0.0860862,1142,1.1,1.15,6077,0.02
WASP-57 b,2.838971,0.675887,0.0386362,455,0.954,0.836,5600,-0.25
HAT-P-37 b,2.79736,1.17362,0.0379273,411,0.929,0.877,5500,0.03
Kepler-198 c,49.567416,0.019315,0.264081,,,0.94,5574,
Kepler-1166 b,33.2406882,0.0125233,0.195344,648,0.9,0.86,5446,-0.02
Kepler-458 c,20.74028413,0.057999,0.146743,0,0.98,1.03,6065,-0.28
Kepler-1605 b,85.7565495,0.00378747,0.361924,224,0.86,0.82,5280,-0.01
Kepler-1222 b,1.91694425,0.00123338,0.0284953,455,0.84,0.8,5239,-0.04
Kepler-1635 b,469.63111,0.0409391,1.13739,1084,0.89,0.85,5347,0.06
Kepler-615 b,10.35584657,0.0128259,0.0837217,330,0.73,0.69,4655,-0.07
Kepler-249 b,3.306539,0.00396389,0.0434366,,,0.482,3568,
WASP-106 b,9.289715,1.925,0.089107,283,1.092,1.393,6055,-0.09
HD 81040 b,1001.7,6.87654,1.9372,33.1126,0.96,0.918818,5700,-0.16
HD 208527 b,875.5,10.014,2.099,403.226,1.6,41.0489,4035,-0.09
Kepler-165 b,8.180848,0.0176845,0.0794582,,,0.77,5211,
Kepler-28 b,5.91213,0.0397121,0.0581375,,0.75,0.7,4590,
Kepler-118 c,20.17202,0.184717,0.145024,,,1.094,5274,
Kepler-1216 b,4.37034536,0.00915206,0.0521389,1124,0.99,0.98,5743,0.03
HAT-P-32 b,2.150008,0.861516,0.0342627,283,1.16,1.219,6207,-0.04
GJ 163 c,25.63058,0.0215524,0.125354,14.9948,0.4,,,
HD 95089 b,507,1.12925,1.38575,139.082,1.38,4.34001,4950,0
XO-3 b,3.1915426,13.2849,0.0477112,282.997,1.41,2.07898,6429,-0.177
Kepler-1380 b,10.3108245,0.0101747,0.0914589,1209,0.96,0.94,5570,0.1
Kepler-478 b,13.2217576,0.0223911,0.103659,420,0.85,0.8,5210,-0.03
HD 114729 b,1114,0.944758,2.10235,36.1141,0.998,1.46377,5820.94,-0.261741
Kepler-122 e,37.993273,0.0208911,0.221179,,,1.216,6050,
